"","pop","food"
"323",-0.4,-0.9
"324",-2.5,-2.9
"325",-1.2,-0.9
"326",-0.8,-1
"327",-0.4,-1.4
"328",0.1,-0.1
"329",-3.3,-3.5
"330",-0.4,-1.4
"331",-1.1,-1.3
"332",-1.6,-1.3
"333",-1.4,-1.9
"334",-3.1,-3.8
"335",0.9,0
"336",-5.6,-5.5
"337",-0.3,-1.2
"338",-2.6,-2.8
"339",-1.1,-2
"340",-0.5,-0.9
"341",-1.4,1.4
"342",-2.1,-2.4
"343",-1.9,-2.2
"344",-1.4,-3.2
"345",-3,-3.4
"346",-2.6,-1.8
"347",-1,-1.7
