"","ozone","temp"
"270",75.3,9.7
"271",81.4,9.4
"272",89.7,9.6
"273",74.2,10.3
"274",89.5,9.8
"275",80.7,7.1
"276",74.6,6.8
"277",73.9,7.7
"278",71.3,10.2
"279",66.6,12.4
"280",69.9,14.8
"281",71.2,12
"282",63,9.2
"283",66.8,6.9
"284",74.4,5.5
"285",69,1.1
"286",67.2,-1.7
"287",66.6,-3.9
"288",66.2,-6.1
"289",76.6,-3.2
"290",56.2,-2.5
"291",56.9,-3.6
"292",92.3,-4.5
"293",92.2,-0.8
"294",77.9,5.3
"295",74.1,4.6
"296",72.1,2.2
"297",68,3
"298",61.6,7.3
"299",47.2,4.4
"300",80,4.8
"301",80.9,8.9
"302",81.7,7.7
"303",85.3,5.5
"304",86.9,5.7
"305",77.4,6.7
"306",77.9,3.2
"307",69.6,-1.9
"308",67.8,-0.6
"309",68,-2.5
"310",59.4,-1.8
"311",75.8,-1.1
"312",58.5,-2
"313",30.8,-2.1
"314",35.2,-2.6
"315",70.6,-3.3
"316",78.9,-0.8
"317",60.9,3.7
"318",67.5,4.2
"319",66.1,3.3
"320",61.5,5.2
"321",58.2,6.4
"322",56.8,4.7
"323",76.7,5.6
"324",63.5,8.6
"325",68.6,7.1
"326",66.4,5.3
"327",72.2,2.9
"328",73.7,1.7
"329",66.7,4.5
"330",64.2,1.7
"331",80.1,1.3
"332",71.3,-0.3
"333",80.9,3.5
"334",64.9,-1.1
"335",53.4,-3.8
"336",76,-4.9
"337",73.5,-3.1
"338",74.3,-3.7
"339",69.4,-4.1
"340",70.6,0
"341",64.2,1.5
"342",75.8,-1.8
"343",81.6,-4.2
"344",85.1,-1.1
"345",72,-3.4
"346",20.9,-5.7
"347",47.8,-8.6
"348",63.8,-9.6
"349",71.4,-12.6
"350",69.1,-14.9
"351",62.4,-15.3
"352",71.3,-14.1
"353",50.6,-14
"354",69,-13.6
"355",71.6,-4.7
"356",75.8,1.1
"357",70.5,-0.4
"358",66,2.8
"359",72.5,-0.9
"360",81,-7.8
"361",78.3,-6.4
"362",76.1,-6
"363",73.5,-0.8
"364",70,0.6
"365",76.1,-1.5
